metric,duration_hours,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications,incident_zone_scenarios,sampled_node
nonincident_zone_mean_response_min,4.366379310344827,0.04147451596836655,-0.018404466969465363,0.10135349890619846,9,10,False
nonincident_zone_mean_response_min,4.4655172413793105,0.03043405646103316,-0.017845374285693143,0.07871348720775946,9,10,False
nonincident_zone_mean_response_min,4.564655172413794,0.019127733558504757,-0.01777834663308553,0.05603381375009504,9,10,False
nonincident_zone_mean_response_min,4.663793103448276,0.008447786620687365,-0.01884889586541854,0.03574446910679327,9,10,False
nonincident_zone_mean_response_min,4.762931034482759,-0.0007135449925132117,-0.02192818986606281,0.020501099881036388,9,10,False
nonincident_zone_mean_response_min,4.862068965517242,-0.007464021921190875,-0.026800012408171155,0.011871968565789405,9,10,False
nonincident_zone_mean_response_min,4.961206896551724,-0.010911404805439657,-0.030505331227911367,0.008682521617032054,9,10,False
nonincident_zone_mean_response_min,5.0,-0.011167641390185976,-0.03084154095577753,0.008506258175405578,9,10,True
nonincident_zone_mean_response_min,5.060344827586207,-0.010611908964464296,-0.030250905896120582,0.00902708796719199,9,10,False
nonincident_zone_mean_response_min,5.1594827586206895,-0.008045886194891185,-0.02755271359578131,0.011460941205998939,9,10,False
nonincident_zone_mean_response_min,5.258620689655173,-0.003829564365575386,-0.02356874107669721,0.015909612345546435,9,10,False
nonincident_zone_mean_response_min,5.357758620689656,0.001571508896298547,-0.01925127313949592,0.022394290932093018,9,10,False
nonincident_zone_mean_response_min,5.456896551724138,0.00769178596354601,-0.01523754033432843,0.03062111226142045,9,10,False
nonincident_zone_mean_response_min,5.556034482758621,0.014065719208982573,-0.011766612483297008,0.03989805090126215,9,10,False
nonincident_zone_mean_response_min,5.655172413793103,0.020227761005423592,-0.008841604613998896,0.04929712662484608,9,10,False
nonincident_zone_mean_response_min,5.754310344827586,0.025712363725684632,-0.006411053451398488,0.05783578090276775,9,10,False
nonincident_zone_mean_response_min,5.853448275862069,0.03005397974258111,-0.00445211446015515,0.06456007394531738,9,10,False
nonincident_zone_mean_response_min,5.952586206896552,0.032787061428928434,-0.002990104826647702,0.06856422768450457,9,10,False
nonincident_zone_mean_response_min,6.0,0.03338962619080702,-0.0024871187678416617,0.0692663711494557,9,10,True
nonincident_zone_mean_response_min,6.051724137931035,0.03367716164156958,-0.0020242016684168945,0.06937852495155605,9,10,False
nonincident_zone_mean_response_min,6.150862068965518,0.03373447423093272,-0.0012021819705620093,0.06867113043242745,9,10,False
nonincident_zone_mean_response_min,6.25,0.03319377511170596,-0.0004960817093155878,0.0668836319327275,9,10,False
nonincident_zone_mean_response_min,6.349137931034483,0.03211571131828868,4.137632179235934e-05,0.064190046314785,9,10,False
nonincident_zone_mean_response_min,6.448275862068966,0.030560929885080246,0.00033488265631820974,0.06078697711384228,9,10,False
nonincident_zone_mean_response_min,6.547413793103448,0.028590077846480086,0.0002811695311353696,0.0568989861618248,9,10,False
nonincident_zone_mean_response_min,6.6465517241379315,0.026263802236887554,-0.0002553094732982812,0.05278291394707339,9,10,False
nonincident_zone_mean_response_min,6.745689655172414,0.023642750090702064,-0.0014387157528217044,0.04872421593422584,9,10,False
nonincident_zone_mean_response_min,6.844827586206897,0.02078756844232295,-0.003438246585874931,0.04501338347052083,9,10,False
nonincident_zone_mean_response_min,6.94396551724138,0.01775890432614963,-0.006376658511968461,0.04189446716426772,9,10,False
nonincident_zone_mean_response_min,7.043103448275862,0.014617404776581522,-0.010268603480403406,0.03950341303356645,9,10,False
