incident_zone,duration_hours,metric,B_N_mean,B_E_mean,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications
6,5.0,p95_response_min,11.427386078062792,11.424971492706444,-0.002414585356350152,-0.007876756915405302,0.003047586202704999,10
6,6.0,p95_response_min,11.598965601433143,11.598965601433143,0.0,0.0,0.0,10
6,8.0,p95_response_min,21.901587343521886,22.14523569551715,0.24364835199526863,-0.0926598263595041,0.5799565303500414,10
6,10.0,p95_response_min,10.712317589250784,10.052737911933523,-0.6595796773172589,-2.332312583615961,1.0131532289814429,10
6,11.0,p95_response_min,12.543716902901362,12.562197452304309,0.01848054940294839,-0.44139997976329226,0.4783610785691891,10
6,12.0,p95_response_min,11.237471072757623,11.364196903862657,0.1267258311050341,-0.08125234107822549,0.3347040032882937,10
7,0.5,p95_response_min,11.621135110257143,11.813697192151418,0.19256208189427454,-0.25148687523744573,0.6366110390259948,9
7,1.0,p95_response_min,14.449619325363884,14.609589835905235,0.1599705105413503,-0.25790479866138083,0.5778458197440814,10
7,2.0,p95_response_min,19.345371909358978,18.823607559213535,-0.5217643501454392,-1.3856932797239694,0.342164579433091,10
7,4.0,p95_response_min,29.636033559461755,30.465700468705215,0.8296669092434555,-1.146768654633005,2.8061024731199162,10
7,5.0,p95_response_min,48.3891289484572,48.461674698920135,0.07254575046293894,-1.8436943504572298,1.9887858513831078,10
7,6.0,p95_response_min,81.80803862794589,81.63193014682491,-0.17610848112097396,-3.2865556596620458,2.934338697420098,10
7,8.0,p95_response_min,193.58541823288746,193.58541823288746,0.0,0.0,0.0,10
7,10.0,p95_response_min,204.84778956065605,204.65766815247076,-0.1901214081853361,-2.00404496245731,1.6238021460866374,10
7,11.0,p95_response_min,255.4820867869101,255.30784894007402,-0.1742378468360787,-2.6058062312214614,2.257330537549304,10
7,12.0,p95_response_min,305.2635929540426,305.2635929540426,0.0,0.0,0.0,10
8,0.5,p95_response_min,10.318751301240109,10.318751301240109,0.0,0.0,0.0,10
8,1.0,p95_response_min,14.797345554858808,14.797345554858808,0.0,0.0,0.0,10
8,2.0,p95_response_min,19.733224915771437,19.733224915771437,0.0,0.0,0.0,10
8,4.0,p95_response_min,43.19604788576389,43.19604788576389,0.0,0.0,0.0,10
8,5.0,p95_response_min,52.843374972765716,51.93368742791112,-0.9096875448545966,-2.967543740355735,1.148168650646542,10
8,6.0,p95_response_min,145.01041933571454,145.24912774517378,0.2387084094592442,-0.3012875288191518,0.7787043477376402,10
8,8.0,p95_response_min,208.71701654502004,208.71701654502004,0.0,0.0,0.0,10
8,10.0,p95_response_min,277.8496558782291,277.8496558782291,0.0,0.0,0.0,10
8,11.0,p95_response_min,296.35118857127594,296.35118857127594,0.0,0.0,0.0,10
8,12.0,p95_response_min,327.2697333904869,327.2697333904869,0.0,0.0,0.0,10
9,0.5,p95_response_min,10.37695277615063,10.37695277615063,0.0,0.0,0.0,9
9,1.0,p95_response_min,10.131172080597043,10.209592671998044,0.07842059140100055,-0.09897911114764416,0.2558202939496452,10
9,2.0,p95_response_min,11.543355691979453,11.336592340927723,-0.2067633510517286,-0.5663599130314404,0.1528332109279832,10
9,4.0,p95_response_min,13.228392443168008,12.972817400260402,-0.2555750429076049,-0.8337259568535019,0.3225758710382921,10
9,5.0,p95_response_min,13.405449128479404,13.291065786516635,-0.11438334196277022,-0.37313643828864734,0.1443697543631069,10
9,6.0,p95_response_min,16.00752630386401,15.924263995626728,-0.08326230823728249,-0.26772719995919125,0.10120258348462625,10
9,8.0,p95_response_min,32.89321053894426,32.38076604983279,-0.5124444891114667,-1.6716744606914378,0.6467854824685043,10
9,10.0,p95_response_min,17.499346659097903,17.626397238793068,0.1270505796951628,-0.23977003579655792,0.49387119518688355,10
9,11.0,p95_response_min,17.960581899940774,17.415236731707814,-0.5453451682329563,-1.6513548594322551,0.5606645229663424,10
9,12.0,p95_response_min,30.069735480843725,29.902418667715683,-0.16731681312804286,-0.5458137404022139,0.21118011414612808,10
10,0.5,p95_response_min,8.497510921683116,8.497510921683116,0.0,0.0,0.0,9
10,1.0,p95_response_min,9.475086683155435,9.475086683155435,0.0,0.0,0.0,10
10,2.0,p95_response_min,10.50334560876868,10.602726971198678,0.09938136242999854,-0.12543489843966704,0.3241976232996641,10
10,4.0,p95_response_min,11.624707371623998,11.624707371623998,0.0,0.0,0.0,10
10,5.0,p95_response_min,11.579620022770397,11.579620022770397,0.0,0.0,0.0,10
10,6.0,p95_response_min,10.709707557378026,10.785997203056365,0.07628964567833982,-0.09628952274025371,0.24886881409693334,10
10,8.0,p95_response_min,14.819274053135747,14.28596274683668,-0.5333113062990696,-1.6983335815558958,0.6317109689577564,10
10,10.0,p95_response_min,9.718357174645469,9.824594323133363,0.10623714848789367,-0.1170942377707288,0.32956853474651615,10
