mode,incident_zone,duration_hours,start_hour,seed,call_digest,calls,mean_response_min,p95_response_min,strict_4min_rate,mean_wait_min,mean_delay_penalty_yuan_per_call,incident_zone_calls,incident_zone_mean_response_min,incident_zone_p95_response_min,incident_zone_strict_4min_rate,incident_zone_mean_wait_min,incident_zone_mean_delay_penalty_yuan_per_call,nonincident_zone_calls,nonincident_zone_mean_response_min,nonincident_zone_p95_response_min,nonincident_zone_strict_4min_rate,nonincident_zone_mean_wait_min,nonincident_zone_mean_delay_penalty_yuan_per_call,max_incident_queue,incident_end_backlog,max_daily_dispatches_per_ambulance
B_E,1,0.5,17.75,600005,28de23b7a02fdd2acf585d25661ae5985d9072728cda33f07154819411685016,12,15.062315699474324,26.891358485981687,0.0833333333333333,6.721545951509445,2229.1298065615315,7,16.3448945039268,27.98653693350915,0.0,7.469246948144116,2468.97890078536,5,13.26670537324086,23.99313509049492,0.2,5.674764556220907,1893.341074648172,5,5,12
B_N,1,0.5,17.75,600005,28de23b7a02fdd2acf585d25661ae5985d9072728cda33f07154819411685016,12,15.062315699474324,26.891358485981687,0.0833333333333333,6.721545951509445,2229.1298065615315,7,16.3448945039268,27.98653693350915,0.0,7.469246948144116,2468.97890078536,5,13.26670537324086,23.99313509049492,0.2,5.674764556220907,1893.341074648172,5,5,12
B_E,1,0.5,17.75,600006,93a2cf263281b6786abbd0ff4ddd7987e2da9d54b0a48e992a078d10a6b4876a,8,7.847056388468657,11.43274042711568,0.25,0.0,819.4112776937313,7,7.8527213438758,11.43274042711568,0.2857142857142857,0.0,827.6871259180172,1,7.8074017006186525,7.8074017006186525,0.0,0.0,761.4803401237305,1,0,12
B_N,1,0.5,17.75,600006,93a2cf263281b6786abbd0ff4ddd7987e2da9d54b0a48e992a078d10a6b4876a,8,7.847056388468657,11.43274042711568,0.25,0.0,819.4112776937313,7,7.8527213438758,11.43274042711568,0.2857142857142857,0.0,827.6871259180172,1,7.8074017006186525,7.8074017006186525,0.0,0.0,761.4803401237305,1,0,12
B_E,1,0.5,17.75,600007,bc60acc8a0d86631a9aff2768ef84d00264b671a1c5eb4d77cfae62a88b98019,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,3.0,3.0,1.0,0.0,0.0,2,3.942809041582064,4.791337179005921,0.5,0.0,88.56180831641271,1,0,12
B_N,1,0.5,17.75,600007,bc60acc8a0d86631a9aff2768ef84d00264b671a1c5eb4d77cfae62a88b98019,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,3.0,3.0,1.0,0.0,0.0,2,3.942809041582064,4.791337179005921,0.5,0.0,88.56180831641271,1,0,12
B_E,1,0.5,17.75,600008,8d0690613628bd42baa7519ffd9a937646fa0a33db634e3fbb0abdc9730f8210,3,4.832491389163405,7.947726750741192,0.6666666666666666,0.0,299.8316111660143,3,4.832491389163405,7.947726750741192,0.6666666666666666,0.0,299.8316111660143,0,,,,,,1,0,12
B_N,1,0.5,17.75,600008,8d0690613628bd42baa7519ffd9a937646fa0a33db634e3fbb0abdc9730f8210,3,4.832491389163405,7.947726750741192,0.6666666666666666,0.0,299.8316111660143,3,4.832491389163405,7.947726750741192,0.6666666666666666,0.0,299.8316111660143,0,,,,,,1,0,12
B_E,1,0.5,17.75,600009,97bc7804a18307a7e6782feecc3c20e5dd5ae8748facab0329370ef851f49034,7,7.6183385348012065,10.942526104418087,0.1428571428571428,0.0,752.2391355316701,3,9.909635759798755,11.269335652883148,0.0,0.0,1181.9271519597514,4,5.899865616053045,8.305308574400357,0.25,0.0,429.97312321060906,1,0,12
B_N,1,0.5,17.75,600009,97bc7804a18307a7e6782feecc3c20e5dd5ae8748facab0329370ef851f49034,7,7.816318893381279,11.015857093707773,0.1428571428571428,0.0,791.8352072476843,3,8.931213673256936,9.668570833060365,0.0,0.0,986.2427346513872,4,6.980147808474535,11.08149526088076,0.25,0.0,646.029561694907,1,0,12
B_E,1,1.0,17.5,600000,0897427f7cf261c7ddeef53c3ba513c61386ecdab3d41bdce1bc8983dbf45a58,18,11.301327348422795,32.096260451177066,0.3888888888888889,5.304428787777902,1538.043247462337,6,10.137315143261292,21.955102051224,0.5,3.954080627630901,1327.4630286522583,12,11.883333451003546,32.15470362114785,0.3333333333333333,5.979602867851402,1643.3333568673763,5,3,12
B_N,1,1.0,17.5,600000,0897427f7cf261c7ddeef53c3ba513c61386ecdab3d41bdce1bc8983dbf45a58,18,11.301327348422795,32.096260451177066,0.3888888888888889,5.304428787777902,1538.043247462337,6,10.137315143261292,21.955102051224,0.5,3.954080627630901,1327.4630286522583,12,11.883333451003546,32.15470362114785,0.3333333333333333,5.979602867851402,1643.3333568673763,5,3,12
B_E,1,1.0,17.5,600001,23522ce041ea136085826f96458848b362ff3ebbe3e4cfa9dc1455d7fcaf97b6,12,5.285160588598255,10.534014168836762,0.5833333333333334,0.0,373.6987843863175,9,5.837367664446102,10.77912133018556,0.5555555555555556,0.0,478.5846440003317,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,0,12
B_N,1,1.0,17.5,600001,23522ce041ea136085826f96458848b362ff3ebbe3e4cfa9dc1455d7fcaf97b6,12,5.285160588598255,10.534014168836762,0.5833333333333334,0.0,373.6987843863175,9,5.837367664446102,10.77912133018556,0.5555555555555556,0.0,478.5846440003317,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,0,12
B_E,1,1.0,17.5,600002,8c6fc51f646d08435c063b42322d662a115765d4399867719af7e7525052bc15,13,6.985485460912477,12.32631092293607,0.3846153846153846,0.0346646590819895,674.0201691055723,9,7.149298742402113,12.773096170846271,0.4444444444444444,0.0500711742295405,718.7486373693114,4,6.616905577560795,10.32952240258414,0.25,0.0,573.3811155121591,1,0,12
B_N,1,1.0,17.5,600002,8c6fc51f646d08435c063b42322d662a115765d4399867719af7e7525052bc15,13,6.985485460912477,12.32631092293607,0.3846153846153846,0.0346646590819895,674.0201691055723,9,7.149298742402113,12.773096170846271,0.4444444444444444,0.0500711742295405,718.7486373693114,4,6.616905577560795,10.32952240258414,0.25,0.0,573.3811155121591,1,0,12
B_E,1,1.0,17.5,600003,5dfe46e38180ff0c51345ff6bbc34cdcb96b217c570a77309a88572ac6eac1a2,18,16.49179273045455,34.36757792525167,0.2777777777777778,9.74486356863579,2553.914101646465,9,15.738981736416598,31.51455121534297,0.3333333333333333,9.540249585888684,2414.463013949987,9,17.244603724492507,34.637910733763434,0.2222222222222222,9.949477551382897,2693.365189342945,8,3,12
