incident_zone,duration_hours,start_hour,metric,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications
3,12.0,8.05,p95_response_min,-3.1329716969177297,-9.537094934186692,3.2711515403512332,10
4,0.5,17.75,p95_response_min,0.0,0.0,0.0,9
4,1.0,17.5,p95_response_min,0.0,0.0,0.0,10
4,2.0,17.0,p95_response_min,0.05319283383547333,-0.06713771623497738,0.17352338390592403,10
4,4.0,16.0,p95_response_min,0.44420380701611306,-0.45359347369010217,1.3420010877223283,10
4,5.0,15.483333333333333,p95_response_min,0.0,0.0,0.0,10
4,6.0,14.983333333333333,p95_response_min,-0.22030401769716218,-0.5530428640306163,0.11243482863629195,10
4,8.0,13.883333333333333,p95_response_min,-0.7602892719919379,-2.3743129735590323,0.8537344295751566,10
4,10.0,10.266666666666666,p95_response_min,-0.04611368796232958,-0.18485136532501517,0.09262398940035603,10
4,11.0,8.7,p95_response_min,0.9507450084156813,-1.059235812899784,2.960725829731147,10
4,12.0,8.05,p95_response_min,-0.12881872824345902,-0.4478633722403833,0.19022591575346526,10
5,0.5,17.75,p95_response_min,0.0550038096102414,-0.07183520280295791,0.1818428220234407,9
5,1.0,17.5,p95_response_min,0.1554634649251204,-0.08836922967473365,0.39929615952497444,10
5,2.0,17.0,p95_response_min,0.0,0.0,0.0,10
5,4.0,16.0,p95_response_min,0.6172831804080101,-1.3499115107663089,2.584477871582329,10
5,5.0,15.483333333333333,p95_response_min,-0.015003331254929541,-0.19825712483956814,0.16825046232970908,10
5,6.0,14.983333333333333,p95_response_min,-0.35314099484009615,-1.059356829890068,0.3530748402098756,10
5,8.0,13.883333333333333,p95_response_min,0.16548233347993319,-0.1735001126028181,0.5044647795626844,10
5,10.0,10.266666666666666,p95_response_min,0.05123025255147855,-0.06466063020980964,0.16712113531276673,10
5,11.0,8.7,p95_response_min,-0.3446771483031091,-0.9844445135841449,0.29509021697792676,10
5,12.0,8.05,p95_response_min,-0.12433640185225006,-0.4154697283987956,0.16679692469429544,10
6,0.5,17.75,p95_response_min,0.0,0.0,0.0,9
6,1.0,17.5,p95_response_min,-0.19895461221887345,-0.6490212133215373,0.2511119888837904,10
6,2.0,17.0,p95_response_min,0.0,0.0,0.0,10
6,4.0,16.0,p95_response_min,0.022935492176970485,-0.2684023644209505,0.3142733487748915,10
6,5.0,15.483333333333333,p95_response_min,-0.002414585356350152,-0.007876756915405302,0.003047586202704999,10
6,6.0,14.983333333333333,p95_response_min,0.0,0.0,0.0,10
6,8.0,13.883333333333333,p95_response_min,0.24364835199526863,-0.0926598263595041,0.5799565303500414,10
6,10.0,10.266666666666666,p95_response_min,-0.6595796773172589,-2.332312583615961,1.0131532289814429,10
6,11.0,8.7,p95_response_min,0.01848054940294839,-0.44139997976329226,0.4783610785691891,10
6,12.0,8.05,p95_response_min,0.1267258311050341,-0.08125234107822549,0.3347040032882937,10
7,0.5,17.75,p95_response_min,0.19256208189427454,-0.25148687523744573,0.6366110390259948,9
7,1.0,17.5,p95_response_min,0.1599705105413503,-0.25790479866138083,0.5778458197440814,10
7,2.0,17.0,p95_response_min,-0.5217643501454392,-1.3856932797239694,0.342164579433091,10
7,4.0,16.0,p95_response_min,0.8296669092434555,-1.146768654633005,2.8061024731199162,10
7,5.0,15.483333333333333,p95_response_min,0.07254575046293894,-1.8436943504572298,1.9887858513831078,10
7,6.0,14.983333333333333,p95_response_min,-0.17610848112097396,-3.2865556596620458,2.934338697420098,10
7,8.0,13.883333333333333,p95_response_min,0.0,0.0,0.0,10
7,10.0,10.266666666666666,p95_response_min,-0.1901214081853361,-2.00404496245731,1.6238021460866374,10
7,11.0,8.7,p95_response_min,-0.1742378468360787,-2.6058062312214614,2.257330537549304,10
7,12.0,8.05,p95_response_min,0.0,0.0,0.0,10
8,0.5,17.75,p95_response_min,0.0,0.0,0.0,10
8,1.0,17.5,p95_response_min,0.0,0.0,0.0,10
8,2.0,17.0,p95_response_min,0.0,0.0,0.0,10
8,4.0,16.0,p95_response_min,0.0,0.0,0.0,10
8,5.0,15.483333333333333,p95_response_min,-0.9096875448545966,-2.967543740355735,1.148168650646542,10
8,6.0,14.983333333333333,p95_response_min,0.2387084094592442,-0.3012875288191518,0.7787043477376402,10
8,8.0,13.883333333333333,p95_response_min,0.0,0.0,0.0,10
8,10.0,10.266666666666666,p95_response_min,0.0,0.0,0.0,10
8,11.0,8.7,p95_response_min,0.0,0.0,0.0,10
8,12.0,8.05,p95_response_min,0.0,0.0,0.0,10
9,0.5,17.75,p95_response_min,0.0,0.0,0.0,9
9,1.0,17.5,p95_response_min,0.07842059140100055,-0.09897911114764416,0.2558202939496452,10
9,2.0,17.0,p95_response_min,-0.2067633510517286,-0.5663599130314404,0.1528332109279832,10
9,4.0,16.0,p95_response_min,-0.2555750429076049,-0.8337259568535019,0.3225758710382921,10
9,5.0,15.483333333333333,p95_response_min,-0.11438334196277022,-0.37313643828864734,0.1443697543631069,10
