incident_zone,mode,metric,duration_hours,mean,ci95_low,ci95_high,replications,sampled_node
1,B_N,mean_response_min,4.862068965517242,32.62632288052995,16.62572785938924,48.62691790167065,10,False
1,B_N,mean_response_min,4.961206896551724,34.13193889532622,17.94557747907759,50.31830031157486,10,False
1,B_N,mean_response_min,5.0,34.69048903655982,18.451521483772726,50.92945658934691,10,True
1,B_N,mean_response_min,5.060344827586207,35.590835980758094,19.309072548217078,51.87259941329911,10,False
1,B_N,mean_response_min,5.1594827586206895,37.25366614820158,21.015624290191944,53.49170800621122,10,False
1,B_N,mean_response_min,5.258620689655173,39.101559739250504,23.020760339002234,55.18235913949877,10,False
1,B_N,mean_response_min,5.357758620689656,41.08471441112328,25.24125289486321,56.92817592738335,10,False
1,B_N,mean_response_min,5.456896551724138,43.153327821038275,27.594318575303593,58.71233706677296,10,False
1,B_N,mean_response_min,5.556034482758621,45.25759762621396,29.999038968132055,60.51615628429586,10,False
1,B_N,mean_response_min,5.655172413793103,47.347721483868675,32.377583792250974,62.317859175486376,10,False
1,B_N,mean_response_min,5.754310344827586,49.37389705122089,34.65609326966881,64.09170083277297,10,False
1,B_N,mean_response_min,5.853448275862069,51.286321985488975,36.76494952999337,65.80769444098458,10,False
1,B_N,mean_response_min,5.952586206896552,53.03519394389133,38.63811807089505,67.43226981688761,10,False
1,B_N,mean_response_min,6.0,53.79925220417259,39.43190041818051,68.16660399016467,10,True
1,B_N,mean_response_min,6.051724137931035,54.61162174596323,40.26198830912579,68.96125518280067,10,False
1,B_N,mean_response_min,6.150862068965518,56.20567839569124,41.872142280397455,70.53921451098502,10,False
1,B_N,mean_response_min,6.25,57.838274844466525,43.49904098723026,72.17750870170279,10,False
1,B_N,mean_response_min,6.349137931034483,59.49738543511957,45.13263480607573,73.86213606416341,10,False
1,B_N,mean_response_min,6.448275862068966,61.17098451048086,46.76287587876044,75.57909314220127,10,False
1,B_N,mean_response_min,6.547413793103448,62.84704641338082,48.379745355186515,77.31434747157513,10,False
1,B_N,mean_response_min,6.6465517241379315,64.51354548664997,49.973273799368485,79.05381717393146,10,False
1,B_N,mean_response_min,6.745689655172414,66.15845607311878,51.533554583966165,80.7833575622714,10,False
1,B_N,mean_response_min,6.844827586206897,67.76975251561772,53.05075044976268,82.48875458147278,10,False
1,B_N,mean_response_min,6.94396551724138,69.33540915697726,54.515093665293556,84.15572464866096,10,False
1,B_N,mean_response_min,7.043103448275862,70.84340034002784,55.91688038150251,85.76992029855317,10,False
1,B_N,mean_response_min,7.142241379310345,72.28170040759998,57.24645983923972,87.31694097596025,10,False
1,B_N,mean_response_min,7.241379310344827,73.63828370252415,58.49421906286298,88.78234834218532,10,False
1,B_N,mean_response_min,7.3405172413793105,74.90112456763077,59.65056357460635,90.1516855606552,10,False
1,B_N,mean_response_min,7.439655172413794,76.05819734575037,60.70589450660284,91.41050018489791,10,False
1,B_N,mean_response_min,7.538793103448276,77.09747637971341,61.650582284271145,92.54437047515567,10,False
1,B_N,mean_response_min,7.637931034482759,78.00693601235035,62.4749368170391,93.53893520766161,10,False
1,B_N,mean_response_min,7.737068965517242,78.77455058649169,63.16917386688408,94.37992730609929,10,False
1,B_N,mean_response_min,7.836206896551724,79.38829444496784,63.723376974396594,95.0532119155391,10,False
1,B_N,mean_response_min,7.935344827586207,79.83614193060933,64.12745400460334,95.54482985661532,10,False
1,B_N,mean_response_min,8.0,80.03311163483689,64.30519846822754,95.76102480144623,10,True
1,B_N,mean_response_min,8.03448275862069,80.11447562981601,64.3782583600399,95.85069289959213,10,False
1,B_N,mean_response_min,8.133620689655173,80.31722732740367,64.55570513343913,96.07874952136821,10,False
1,B_N,mean_response_min,8.232758620689655,80.47705140695356,64.68754189191432,96.2665609219928,10,False
1,B_N,mean_response_min,8.331896551724139,80.59819561760379,64.77727702668965,96.41911420851794,10,False
1,B_N,mean_response_min,8.431034482758621,80.68490770849245,64.82844070040416,96.54137471658073,10,False
1,B_N,mean_response_min,8.530172413793103,80.74143542875764,64.844635765675,96.63823509184029,10,False
1,B_N,mean_response_min,8.629310344827587,80.77202652753745,64.82957991509247,96.71447313998243,10,False
1,B_N,mean_response_min,8.72844827586207,80.78092875397,64.78713883152295,96.77471867641705,10,False
1,B_N,mean_response_min,8.827586206896552,80.77238985719339,64.72135013776392,96.82342957662286,10,False
1,B_N,mean_response_min,8.926724137931036,80.75065758634568,64.63643803303222,96.86487713965914,10,False
1,B_N,mean_response_min,9.025862068965518,80.719979690565,64.53681863764058,96.90314074348942,10,False
1,B_N,mean_response_min,9.125,80.68460391898945,64.4270962263614,96.9421116116175,10,False
1,B_N,mean_response_min,9.224137931034484,80.64877802075713,64.31205069146291,96.98550535005135,10,False
1,B_N,mean_response_min,9.323275862068966,80.61674974500613,64.19661671441783,97.03688277559444,10,False
1,B_N,mean_response_min,9.422413793103448,80.59276684087456,64.08585522076058,97.09967846098854,10,False
1,B_N,mean_response_min,9.52155172413793,80.58107705750051,63.984917731964806,97.17723638303622,10,False
