duration_hours,external_count,replications,mean_response_min_n,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_n,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_n,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_n,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_n,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_n,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_n,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_n,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high,incident_zone_scenarios
2.0,6,10,10,4.844635722732571,4.49168736341986,5.197584082045282,10,3.0922469574201625,1.5620896269670794,4.622404287873246,10,0.09469602133627943,0.04191563217058467,0.1474764105019742,10,5469.601394900729,3659.970687780925,7279.232102020534,10,14520.131193567891,6584.751414482829,22455.510972652955,10,2420.021865594649,1097.458569080472,3742.5851621088264,10,443.26107850610896,167.1475451551516,719.3746118570664,10,9.99,8.591258227311592,11.388741772688409,10
4.0,0,10,10,9.892970714235542,6.358937705218699,13.427003723252385,10,0.0,0.0,0.0,0,,,,10,60391.813851123305,13656.946563970618,107126.68113827599,10,0.0,0.0,0.0,0,,,,0,,,,10,0.0,0.0,0.0,10
4.0,1,10,10,7.4517999894556155,5.74358283272854,9.16001714618269,10,2.4411707247799255,0.5720777505435364,4.310263699016314,10,2.4411707247799255,0.5720777505435364,4.310263699016314,10,35796.86059764571,13165.296642580459,58428.42455271096,10,24594.95325347758,264.97411064238986,48924.93239631277,10,24594.95325347758,264.97411064238986,48924.93239631277,10,24594.95325347758,264.97411064238986,48924.93239631277,10,4.6899999999999995,4.32766233117557,5.052337668824429,10
4.0,2,10,10,6.21309535542767,5.223420659123146,7.202770051732195,10,3.679875358807871,1.0943172461095436,6.265433471506198,10,1.2387046340279455,0.509574896525967,1.967834371529924,10,23862.69518337355,10930.95366261315,36794.43670413395,10,36529.118667749746,2492.0683363560747,70566.16899914341,10,18264.559333874873,1246.0341681780374,35283.084499571705,10,11934.165414272164,2165.4010610489113,21702.929767495414,10,8.739999999999998,8.200233309973271,9.279766690026726,10
4.0,3,10,10,5.499230294010259,4.936567257348358,6.061893330672159,10,4.393740420225283,1.3813077592871843,7.406173081163383,10,0.7138650614174115,0.2766932431520103,1.1510368796828125,10,17141.2446610047,9751.610395135316,24530.878926874087,10,43250.56919011859,3695.6825393569743,82805.45584088021,10,14416.856396706198,1231.894179785657,27601.81861362674,10,6721.450522368849,1134.2815562168325,12308.619488520866,10,12.129999999999999,11.463996274761977,12.796003725238021,10
4.0,4,10,10,5.091969902080607,4.742116073985882,5.441823730175333,10,4.801000812154935,1.5684668146239122,8.033534809685957,10,0.4072603919296526,0.1749971117894364,0.6395236720698687,10,13351.675174916643,8857.63627375165,17845.714076081636,10,47040.138676206654,4511.574324070418,89568.70302834289,10,11760.034669051664,1127.8935810176044,22392.175757085723,10,3789.569486088059,765.9476238835587,6813.191348292559,10,14.73,13.873527925916118,15.586472074083883,10
4.0,5,10,10,4.850940592657772,4.602275558147081,5.099605627168463,10,5.04203012157777,1.6926639278199915,8.391396315335548,10,0.2410293094228348,0.12061092580705768,0.3614476930386119,10,11080.119601317889,8112.768079068203,14047.471123567575,10,49311.694249805405,5163.067613193343,93460.32088641747,10,9862.33884996108,1032.6135226386687,18692.06417728349,10,2271.5555735987514,632.5326264884136,3910.5785207090894,10,16.96,15.825808951128588,18.094191048871416,10
4.0,6,10,10,4.713728143278082,4.522412439310779,4.905043847245386,10,5.17924257095746,1.7802875460088186,8.578197595906103,10,0.13721244937969013,0.07339549947437998,0.20102939928500027,10,9833.04748260056,7556.70731228462,12109.387652916499,10,50558.76636852273,5780.008924973918,95337.52381207154,10,8426.461061420456,963.3348208289881,15889.587302011923,10,1247.0721187173317,529.4813346027216,1964.6629028319417,10,18.509999999999998,17.2020070698731,19.817992930126895,10
5.0,0,10,10,12.34185796974294,6.8252372039671325,17.858478735518744,10,0.0,0.0,0.0,0,,,,10,106269.60661670566,21976.174639876146,190563.03859353517,10,0.0,0.0,0.0,0,,,,0,,,,10,0.0,0.0,0.0,10
5.0,1,10,10,8.009899512937393,5.425379427097136,10.59441959877765,10,4.3319584568055465,1.3726197432826037,7.291297170328489,10,4.3319584568055465,1.3726197432826037,7.291297170328489,10,52188.92678118546,11910.37262942412,92467.4809329468,10,54080.679835520205,9838.974962505083,98322.38470853533,10,54080.679835520205,9838.974962505083,98322.38470853533,10,54080.679835520205,9838.974962505083,98322.38470853533,10,5.88,5.389228318487802,6.370771681512198,10
5.0,2,10,10,6.349956404146676,5.130640924249883,7.569271884043468,10,5.9919015655962635,1.6666638223085055,10.317139308884022,10,1.6599431087907182,0.28029990476534716,3.0395863128160894,10,31282.713241338985,12291.228268747756,50274.19821393021,10,74986.89337536668,9483.314013041876,140490.47273769148,10,37493.44668768334,4741.657006520938,70245.23636884574,10,20906.213539846474,-485.65975767448253,42298.08683736743,10,10.73,10.050473692830996,11.409526307169005,10
5.0,3,10,10,5.577366060947805,4.903951080196731,6.250781041698878,10,6.764491908795135,1.882961075754178,11.646022741836092,10,0.7725903431988697,0.210745693441724,1.3344349929560153,10,22064.973612818947,11575.008685875755,32554.938539762137,10,84204.63300388673,10130.861032816087,158278.40497495738,10,28068.211001295578,3376.9536776053646,52759.46832498579,10,9217.739628520038,587.5211128981191,17847.958144141958,10,14.86,13.951249548714221,15.768750451285777,10
5.0,4,10,10,5.1179991237014875,4.720187976960897,5.515810270442078,10,7.223858846041454,2.0623867863213663,12.385330905761542,10,0.4593669372463184,0.17048041288920973,0.7482534616034271,10,16765.832042787264,10522.194118980495,23009.469966594035,10,89503.77457391842,11084.140331415663,167923.40881642117,10,22375.943643479604,2771.035082853916,41980.85220410529,10,5299.141570031683,896.674142105855,9701.608997957512,10,18.259999999999998,17.146552854835935,19.37344714516406,10
5.0,5,10,10,4.858512252224348,4.5872271060697525,5.129797398378944,10,7.483345717518593,2.1685910527857564,12.79810038225143,10,0.2594868714771391,0.10324554387006485,0.4157281990842134,10,13774.117637623916,9687.934032325209,17860.301242922626,10,92495.48897908175,11685.402072814162,173305.57588534936,10,18499.09779581635,2337.080414562828,34661.11517706987,10,2991.7144051633463,586.4269835369046,5397.0018267897885,10,20.98,19.484464876787573,22.475535123212428,10
