mode,external_count,external_sites,call_digest,calls,mean_response_min,p95_response_min,strict_4min_rate,mean_wait_min,mean_delay_penalty_yuan_per_call,incident_zone_calls,incident_zone_mean_response_min,incident_zone_p95_response_min,incident_zone_strict_4min_rate,incident_zone_mean_wait_min,incident_zone_mean_delay_penalty_yuan_per_call,nonincident_zone_calls,nonincident_zone_mean_response_min,nonincident_zone_p95_response_min,nonincident_zone_strict_4min_rate,nonincident_zone_mean_wait_min,nonincident_zone_mean_delay_penalty_yuan_per_call,max_incident_queue,incident_end_backlog,external_dispatches,max_daily_dispatches_per_ambulance,incident_zone,duration_hours,start_hour,seed
B_E,6,S1|S1|S1|S1|S1|S1,8d0690613628bd42baa7519ffd9a937646fa0a33db634e3fbb0abdc9730f8210,3,3.0,3.0,1.0,0.0,0.0,3,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,3,12,1,0.5,17.75,600008
B_E,0,,97bc7804a18307a7e6782feecc3c20e5dd5ae8748facab0329370ef851f49034,7,7.6183385348012065,10.942526104418087,0.14285714285714285,0.0,752.2391355316701,3,9.909635759798757,11.269335652883148,0.0,0.0,1181.9271519597514,4,5.899865616053045,8.305308574400357,0.25,0.0,429.97312321060906,1,0,0,12,1,0.5,17.75,600009
B_E,1,S1,97bc7804a18307a7e6782feecc3c20e5dd5ae8748facab0329370ef851f49034,7,6.315079549945888,9.408327129600329,0.2857142857142857,0.0,520.1587671320347,3,7.0987222840935305,9.668570833060363,0.3333333333333333,0.0,686.411123485373,4,5.7273474993351545,7.7187469775595305,0.25,0.0,395.46949986703095,1,0,1,12,1,0.5,17.75,600009
B_E,2,S1|S1,97bc7804a18307a7e6782feecc3c20e5dd5ae8748facab0329370ef851f49034,7,5.343837737832977,8.290452427428745,0.42857142857142855,0.0,354.48183328088095,3,4.832491389163405,7.947726750741192,0.6666666666666666,0.0,299.8316111660143,4,5.7273474993351545,7.7187469775595305,0.25,0.0,395.46949986703095,1,0,2,12,1,0.5,17.75,600009
B_E,3,S1|S1|S1,97bc7804a18307a7e6782feecc3c20e5dd5ae8748facab0329370ef851f49034,7,3.8717126138174236,6.517144574439724,0.7142857142857143,0.0,117.19966562062761,3,3.0,3.0,1.0,0.0,0.0,4,4.525497074180492,6.866757393998782,0.5,0.0,205.09941483609833,1,0,3,12,1,0.5,17.75,600009
B_E,4,S1|S1|S1|S1,97bc7804a18307a7e6782feecc3c20e5dd5ae8748facab0329370ef851f49034,7,3.6952917218805497,5.652682203949041,0.7142857142857143,0.0,81.91548723325276,3,3.0,3.0,1.0,0.0,0.0,4,4.216760513290962,5.817053086974381,0.5,0.0,143.35210265819234,1,0,4,12,1,0.5,17.75,600009
B_E,5,S1|S1|S1|S1|S1,97bc7804a18307a7e6782feecc3c20e5dd5ae8748facab0329370ef851f49034,7,3.6952917218805497,5.652682203949041,0.7142857142857143,0.0,81.91548723325276,3,3.0,3.0,1.0,0.0,0.0,4,4.216760513290962,5.817053086974381,0.5,0.0,143.35210265819234,1,0,4,12,1,0.5,17.75,600009
B_E,6,S1|S1|S1|S1|S1|S1,97bc7804a18307a7e6782feecc3c20e5dd5ae8748facab0329370ef851f49034,7,3.6952917218805497,5.652682203949041,0.7142857142857143,0.0,81.91548723325276,3,3.0,3.0,1.0,0.0,0.0,4,4.216760513290962,5.817053086974381,0.5,0.0,143.35210265819234,1,0,4,12,1,0.5,17.75,600009
B_E,0,,0897427f7cf261c7ddeef53c3ba513c61386ecdab3d41bdce1bc8983dbf45a58,18,11.301327348422795,32.096260451177066,0.3888888888888889,5.304428787777902,1538.043247462337,6,10.137315143261292,21.955102051224,0.5,3.9540806276309013,1327.4630286522583,12,11.883333451003546,32.15470362114785,0.3333333333333333,5.979602867851402,1643.3333568673763,5,3,0,12,1,1.0,17.5,600000
B_E,1,S1,0897427f7cf261c7ddeef53c3ba513c61386ecdab3d41bdce1bc8983dbf45a58,18,9.791889482338368,27.78713371953457,0.4444444444444444,3.3592589583531662,1247.2667853565624,6,7.744855647903442,17.762575177866815,0.6666666666666666,2.538165293281054,882.3044629140219,12,10.815406399555831,29.12377768846931,0.3333333333333333,3.7698057908892224,1429.7479465778326,4,2,2,12,1,1.0,17.5,600000
